,0
0,Delaware
1,Indiana
2,Kansas
3,Kentucky
4,Louisiana
5,Maine
6,Maryland
7,Massachusetts
8,Michigan
9,Minnesota
10,Mississippi
11,Missouri
12,Montana
13,Nebraska
14,Nevada
15,New Hampshire
16,New Jersey
17,New Mexico
18,North Carolina
19,North Dakota
20,Ohio
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,South Carolina
26,South Dakota
27,Tennessee
28,Texas
29,Utah
30,Vermont
31,Virginia
32,Washington
33,West Virginia
34,Wisconsin
35,Wyoming
